Error Class,Number,
 expected,299415,5.476273554
 expected3,128047,5.107369408
 not.stmt,64870,4.812043898
 illegal.start.of.expr,43651,4.639994197
 illegal.start.of.type,31768,4.501989874
 premature.eof,28422,4.453654635
 dot.class.expected,8603,3.934649923
 else.without.if,8178,3.912647106
 invalid.meth.decl.ret.type.req,7395,3.868938178
 expected2,6983,3.844042042
 illegal.start.of.stmt,2455,3.390051496
 variable.not.allowed,1736,3.239549721
 array.dimension.missing,1020,3.008600172
 try.without.catch.finally.or.resource.decls,989,2.995196292
 illegal.esc.char,969,2.986323777
 orphaned,907,2.957607287
 int.number.too.large,715,2.854306042
 catch.without.try,555,2.744292983
 underscore.as.identifier,356,2.551449998
 unclosed.comment,267,2.426511261
 illegal.dot,215,2.33243846
 preview.feature.disabled.plural,199,2.298853076
 bad.initializer,185,2.267171728
 restricted.type.not.allowed.here,178,2.250420002
 unclosed.str.lit,132,2.120573931
 this.as.identifier,106,2.025305865
 mod.not.allowed.here,88,1.944482672
 wrong.receiver,74,1.86923172
 try.with.resources.expr.needs.var,72,1.857332496
 illegal.text.block.open,71,1.851258349
 repeated.modifier,57,1.755874856
 illegal.array.creation.both.dimension.and.initialization,54,1.73239376
 malformed.fp.lit,53,1.72427587
 finally.without.try,52,1.716003344
 restricted.type.not.allowed.compound,47,1.672097858
 initializer.not.allowed,41,1.612783857
 enum.as.identifier,33,1.51851394
 illegal.underscore,20,1.301029996
 illegal.char,16,1.204119983
 assert.as.identifier,15,1.176091259
 invalid.lambda.parameter.declaration,10,1
 local.enum,9,0.954242509
 illegal.unicode.esc,9,0.954242509
 restricted.type.not.allowed,6,0.77815125
 invalid.binary.number,4,0.602059991
 unclosed.char.lit,4,0.602059991
 class.not.allowed,2,0.301029996
 invalid.hex.number,2,0.301029996
 cannot.create.array.with.type.arguments,2,0.301029996
 illegal.line.end.in.char.lit,2,0.301029996
 varargs.must.be.last,1,0
 varargs.and.receiver,1,0